id,resource_type,locator,translatable_string
afa909be-a783-4718-aa38-3983ef194518,ACTION_STEP_OUTPUT_GENERIC_VALUES_TEXT,"workspace.actions[action=""fallback""].steps[step=""digression_failure""].output.generic[0].values[0].text","""Sorry I couldn't confirm if you wanted to return to previous topic, let me connect to an agent."""
de2989bf-6ef2-4e1a-969f-0f854b7c5343,ACTION_STEP_RESOLVER_CONNECT_TO_AGENT_AVAILABLE_MSG,"workspace.actions[action=""fallback""].steps[step=""digression_failure""].resolver[type=""connect_to_agent""].response.agent_available.message","""Let's send you to an available agent."""
2009fecd-a032-499f-9e64-bda4f82e366f,ACTION_STEP_RESOLVER_CONNECT_TO_AGENT_UNAVAILABLE_MSG,"workspace.actions[action=""fallback""].steps[step=""digression_failure""].resolver[type=""connect_to_agent""].response.agent_unavailable.message","""There are no agents available at this time. When one becomes available, we'll connect you."""
e4a9fd3d-d2ba-4e62-8943-84a3d9330235,ACTION_STEP_RESOLVER_CONNECT_TO_AGENT_HUMAN_AGENT_MSG,"workspace.actions[action=""fallback""].steps[step=""digression_failure""].resolver[type=""connect_to_agent""].response.message_to_human_agent",""""""
9e0b86ea-f91d-4efb-b73f-edbe18ecd6ae,ACTION_STEP_CONDITION_SCALAR,"workspace.actions[action=""fallback""].steps[step=""digression_failure""].condition.eq[1].scalar","""Failed to confirm topic return"""
c9e76ea8-850b-44a5-818e-10cd54436dbc,ACTION_STEP_OUTPUT_GENERIC_VALUES_TEXT,"workspace.actions[action=""fallback""].steps[step=""step_001""].output.generic[0].values[0].text","""I'm afraid I don't understand. I can connect you to an agent."""
f83cb861-da6e-46f6-a5fb-f159e06a8acd,ACTION_STEP_RESOLVER_CONNECT_TO_AGENT_AVAILABLE_MSG,"workspace.actions[action=""fallback""].steps[step=""step_001""].resolver[type=""connect_to_agent""].response.agent_available.message","""Let's send you to an available agent."""
c18d34f5-eb4d-4820-baf3-13d2a7b61e11,ACTION_STEP_RESOLVER_CONNECT_TO_AGENT_UNAVAILABLE_MSG,"workspace.actions[action=""fallback""].steps[step=""step_001""].resolver[type=""connect_to_agent""].response.agent_unavailable.message","""There are no agents available at this time. When one becomes available, we'll connect you."""
0ac814a6-1087-49fb-87c8-19862bd796b5,ACTION_STEP_RESOLVER_CONNECT_TO_AGENT_HUMAN_AGENT_MSG,"workspace.actions[action=""fallback""].steps[step=""step_001""].resolver[type=""connect_to_agent""].response.message_to_human_agent",""""""
b4f9fa86-a391-4bf9-a68c-91b3658f8fa7,ACTION_STEP_CONDITION_SCALAR,"workspace.actions[action=""fallback""].steps[step=""step_001""].condition.eq[1].scalar","""Step validation failed"""
97c9b159-b41a-4e8c-8425-0a123ccb5051,ACTION_STEP_OUTPUT_GENERIC_VALUES_TEXT,"workspace.actions[action=""fallback""].steps[step=""step_002""].output.generic[0].values[0].text","""Sorry I couldn't assist you. I will connect you to an agent right away."""
03b62390-582b-4e64-9174-a9506b4f41b5,ACTION_STEP_RESOLVER_CONNECT_TO_AGENT_AVAILABLE_MSG,"workspace.actions[action=""fallback""].steps[step=""step_002""].resolver[type=""connect_to_agent""].response.agent_available.message","""Let's send you to an available agent."""
fe6aafd0-0fae-48bd-86d5-a7d691c15f5d,ACTION_STEP_RESOLVER_CONNECT_TO_AGENT_UNAVAILABLE_MSG,"workspace.actions[action=""fallback""].steps[step=""step_002""].resolver[type=""connect_to_agent""].response.agent_unavailable.message","""There are no agents available at this time. When one becomes available, we'll connect you."""
197335b6-8f88-4ddd-80a5-33f3e7df0cce,ACTION_STEP_RESOLVER_CONNECT_TO_AGENT_HUMAN_AGENT_MSG,"workspace.actions[action=""fallback""].steps[step=""step_002""].resolver[type=""connect_to_agent""].response.message_to_human_agent",""""""
01135f68-a84b-4a47-9fa7-4d9d87d9486a,ACTION_STEP_CONDITION_SCALAR,"workspace.actions[action=""fallback""].steps[step=""step_002""].condition.eq[1].scalar","""Agent requested"""
81617ec4-dd4f-4029-940e-a6eb54806cb6,ACTION_STEP_OUTPUT_GENERIC_VALUES_TEXT,"workspace.actions[action=""fallback""].steps[step=""step_003""].output.generic[0].values[0].text","""I am afraid I do not understand what you are asking, let me connect you to an agent."""
7c047399-fa2a-4a11-81c3-e3601bce820c,ACTION_STEP_RESOLVER_CONNECT_TO_AGENT_AVAILABLE_MSG,"workspace.actions[action=""fallback""].steps[step=""step_003""].resolver[type=""connect_to_agent""].response.agent_available.message","""Let's send you to an available agent."""
5dce9637-e929-4f37-9100-cb1b938339b2,ACTION_STEP_RESOLVER_CONNECT_TO_AGENT_UNAVAILABLE_MSG,"workspace.actions[action=""fallback""].steps[step=""step_003""].resolver[type=""connect_to_agent""].response.agent_unavailable.message","""There are no agents available at this time. When one becomes available, we'll connect you."""
9af79460-84b9-4560-9666-83789bd6d421,ACTION_STEP_RESOLVER_CONNECT_TO_AGENT_HUMAN_AGENT_MSG,"workspace.actions[action=""fallback""].steps[step=""step_003""].resolver[type=""connect_to_agent""].response.message_to_human_agent",""""""
8e036352-91d0-4db6-bf50-34f6f412cc5d,ACTION_STEP_CONDITION_SCALAR,"workspace.actions[action=""fallback""].steps[step=""step_003""].condition.eq[1].scalar","""No action matches"""
0da1f7b2-48d1-43a7-88a7-78a40ffcb206,ACTION_STEP_OUTPUT_GENERIC_VALUES_TEXT,"workspace.actions[action=""fallback""].steps[step=""step_004""].output.generic[0].values[0].text","""It seems this conversation would be best managed by a human agent. Let me connect you to one of our agents."""
2d3be580-501e-4c61-b77c-4f7fb13b8a9d,ACTION_STEP_RESOLVER_CONNECT_TO_AGENT_AVAILABLE_MSG,"workspace.actions[action=""fallback""].steps[step=""step_004""].resolver[type=""connect_to_agent""].response.agent_available.message","""Let's send you to an available agent."""
28015f40-60db-4d44-8936-b7c6c400fa09,ACTION_STEP_RESOLVER_CONNECT_TO_AGENT_UNAVAILABLE_MSG,"workspace.actions[action=""fallback""].steps[step=""step_004""].resolver[type=""connect_to_agent""].response.agent_unavailable.message","""There are no agents available at this time. When one becomes available, we'll connect you."""
3154c54d-c92c-485e-b259-524182be6033,ACTION_STEP_RESOLVER_CONNECT_TO_AGENT_HUMAN_AGENT_MSG,"workspace.actions[action=""fallback""].steps[step=""step_004""].resolver[type=""connect_to_agent""].response.message_to_human_agent",""""""
4ad20870-16e5-47df-a841-321006471801,ACTION_STEP_CONDITION_SCALAR,"workspace.actions[action=""fallback""].steps[step=""step_004""].condition.eq[1].scalar","""Danger word detected"""
cf7dc471-1434-4396-95ab-32faf974aa73,ACTION_STEP_OUTPUT_GENERIC_VALUES_TEXT,"workspace.actions[action=""fallback""].steps[step=""step_005""].output.generic[0].values[0].text","""It seems this conversation would be best managed by a human agent. Let me connect you to one of our agents."""
003bbef3-6821-4cdc-910b-e3f36921612e,ACTION_STEP_RESOLVER_CONNECT_TO_AGENT_AVAILABLE_MSG,"workspace.actions[action=""fallback""].steps[step=""step_005""].resolver[type=""connect_to_agent""].response.agent_available.message","""Let's send you to an available agent."""
71d5181d-cc7b-4734-a63d-456b43c31ed0,ACTION_STEP_RESOLVER_CONNECT_TO_AGENT_UNAVAILABLE_MSG,"workspace.actions[action=""fallback""].steps[step=""step_005""].resolver[type=""connect_to_agent""].response.agent_unavailable.message","""There are no agents available at this time. When one becomes available, we'll connect you."""
4c6b4147-3d60-497f-9e8c-bb290f5eebff,ACTION_STEP_RESOLVER_CONNECT_TO_AGENT_HUMAN_AGENT_MSG,"workspace.actions[action=""fallback""].steps[step=""step_005""].resolver[type=""connect_to_agent""].response.message_to_human_agent",""""""
ae952464-79b2-4077-8dbf-e8a8ebe89a5b,ACTION_STEP_CONDITION_SCALAR,"workspace.actions[action=""fallback""].steps[step=""step_005""].condition.eq[1].scalar","""Profanity detected"""
a0d788ca-b094-4dc3-89fd-6c14959fb514,ACTION_TITLE,"workspace.actions[action=""fallback""].title","""Fallback"""
c6610cb7-0eab-45e8-a3f6-46d8fc4b4e77,ACTION_STEP_OUTPUT_GENERIC_VALUES_TEXT_EXPRESSION,"workspace.actions[action=""run_always""].steps[step=""profanity_detected""].output.generic[0].values[0].text_expression","""Please use appropriate language when interacting with the assistant."""
c932762c-cfba-4e22-ad33-a13953def498,ACTION_TITLE,"workspace.actions[action=""run_always""].title","""Trigger word detected"""
e4448eb1-6873-4ea5-9750-d23a09e80e29,ACTION_STEP_OUTPUT_GENERIC_VALUES_TEXT,"workspace.actions[action=""anything_else""].steps[step=""step_001""].output.generic[0].values[0].text","""I'm afraid I don't understand. Please rephrase your question."""
4f93f1ea-2f62-4de9-a1b6-734b346daa65,ACTION_STEP_OUTPUT_GENERIC_VALUES_TEXT,"workspace.actions[action=""anything_else""].steps[step=""step_002""].output.generic[0].values[0].text",""""""
61548924-d433-4035-97b8-f907ab3553f0,ACTION_TITLE,"workspace.actions[action=""anything_else""].title","""No matches"""
c4a9c7ef-bce2-4178-8113-cf1c559af314,ACTION_STEP_OUTPUT_GENERIC_VALUES_TEXT,"workspace.actions[action=""welcome""].steps[step=""step_001""].output.generic[0].values[0].text","""Welcome, how can I assist you?"""
db0bc5b5-83b0-452b-8a4d-6cace66e4cd7,ACTION_TITLE,"workspace.actions[action=""welcome""].title","""Greet customer"""
91325191-91de-41df-a6ec-77389ab9fa67,ACTION_STEP_OUTPUT_GENERIC_VALUES_TEXT_EXPRESSION,"workspace.actions[action=""action_13687""].steps[step=""step_557""].output.generic[0].values[0].text_expression","""Enter your name"""
e48d6ef7-46be-4bf1-8472-98da655d1c91,ACTION_STEP_OUTPUT_GENERIC_VALUES_TEXT_EXPRESSION,"workspace.actions[action=""action_13687""].steps[step=""step_107""].output.generic[0].values[0].text_expression","""Select your Bank"""
