id,resource_type,locator,translatable_string
c5f78a72-b390-496f-a26f-2cfe84dae624,EXAMPLE_TEXT,"workspace.intents[intent=""fallback_connect_to_agent""].examples[0].text","""Call agent"""
d712a127-ca1f-4c05-b6cc-85f70af44727,EXAMPLE_TEXT,"workspace.intents[intent=""fallback_connect_to_agent""].examples[1].text","""Agent help"""
1ea0bbab-1377-4edc-bd3b-09019c0ce5ca,EXAMPLE_TEXT,"workspace.intents[intent=""fallback_connect_to_agent""].examples[2].text","""I would like to speak to a human"""
539f32ed-8fd7-4200-aa1f-0f680fab22d0,EXAMPLE_TEXT,"workspace.intents[intent=""fallback_connect_to_agent""].examples[3].text","""Can I connect to an agent?"""
06108667-7fb3-4fc8-b67c-356db7ac623a,EXAMPLE_TEXT,"workspace.intents[intent=""fallback_connect_to_agent""].examples[4].text","""I would like to speak to someone"""
7ee8f475-3e35-4e5c-9cc0-4f57dd133b2c,EXAMPLE_TEXT,"workspace.intents[intent=""action_13687_intent_2565""].examples[0].text","""credit card services"""
93f33d09-c9b5-4d09-a5ab-03b48aab79fe,ENTITY_VALUE,"workspace.entities[entity=""entity_3407""].values[type=""synonyms"", value=""Bank Of India""].value","""Bank Of India"""
c2a8c113-aab5-479e-a5b6-b88e0379ac5f,ENTITY_VALUE,"workspace.entities[entity=""entity_3407""].values[type=""synonyms"", value=""Punjab national Bank""].value","""Punjab national Bank"""
a5b40fb5-9734-412c-8ebe-9fba785aff90,ENTITY_VALUE,"workspace.entities[entity=""entity_3407""].values[type=""synonyms"", value=""HDFC""].value","""HDFC"""
5d03569e-975b-4b63-a213-a337fab6d668,ENTITY_VALUE,"workspace.entities[entity=""entity_3407""].values[type=""synonyms"", value=""ICICI""].value","""ICICI"""
07e911cb-9f10-493b-bfa0-71072362b021,ENTITY_VALUE,"workspace.entities[entity=""entity_3407""].values[type=""synonyms"", value=""SBI""].value","""SBI"""
be3b7b48-e1d6-4a93-a234-cbadc0b2b8a4,ENTITY_VALUE,"workspace.entities[entity=""entity_13492""].values[type=""synonyms"", value=""Credit Card services""].value","""Credit Card services"""
4b08d114-e599-47f3-9820-4ffc92d577d0,ENTITY_VALUE,"workspace.entities[entity=""entity_13492""].values[type=""synonyms"", value=""Balance history services""].value","""Balance history services"""
d5444cd9-cc95-48e9-b71d-0276c5ced7cf,ENTITY_VALUE,"workspace.entities[entity=""entity_13492""].values[type=""synonyms"", value=""Debit card services""].value","""Debit card services"""
dff608de-6771-4cf1-908e-3bd9ac1817d3,ENTITY_VALUE,"workspace.entities[entity=""entity_13492""].values[type=""synonyms"", value=""change mobile services""].value","""change mobile services"""
6dc40068-812b-4a16-9bb5-35c74670a3b1,ENTITY_VALUE,"workspace.entities[entity=""entity_38062""].values[type=""synonyms"", value=""UPI services""].value","""UPI services"""
b796629c-0422-4595-95d0-157c490b550a,ENTITY_VALUE,"workspace.entities[entity=""entity_38062""].values[type=""synonyms"", value=""Credit card services""].value","""Credit card services"""
5026a92a-4f68-408e-ac31-4d3980679201,ENTITY_VALUE,"workspace.entities[entity=""entity_38062""].values[type=""synonyms"", value=""Debit card services""].value","""Debit card services"""
852b8b1a-4cf8-432a-8898-e394df73140d,ENTITY_VALUE,"workspace.entities[entity=""entity_38062""].values[type=""synonyms"", value=""Bank services""].value","""Bank services"""
c6f5a85d-efae-4f2d-9f78-bd5646de8472,ENTITY_VALUE,"workspace.entities[entity=""entity_47675""].values[type=""synonyms"", value=""UPI services""].value","""UPI services"""
ed886164-7a0d-42c9-bb6c-d6e6ec2aebeb,ENTITY_VALUE,"workspace.entities[entity=""entity_47675""].values[type=""synonyms"", value=""Wallet Services""].value","""Wallet Services"""
f06ce1b9-446c-4072-925f-18c5810f9c99,ENTITY_VALUE,"workspace.entities[entity=""entity_47675""].values[type=""synonyms"", value=""Bank Services""].value","""Bank Services"""
36503848-d238-4fe4-bf4d-1b829fce0356,ENTITY_VALUE,"workspace.entities[entity=""entity_46794""].values[type=""synonyms"", value=""Bank Details""].value","""Bank Details"""
e3e64b67-8b2e-4086-89ba-0078f713a70e,ENTITY_VALUE,"workspace.entities[entity=""entity_46794""].values[type=""synonyms"", value=""UPI services""].value","""UPI services"""
ed90a66b-f94b-4e2e-a605-15538cbe6a18,ENTITY_VALUE,"workspace.entities[entity=""entity_46794""].values[type=""synonyms"", value=""IFSC Details""].value","""IFSC Details"""
a59b1ebe-c4d5-4b50-bd80-4ceeee279080,ENTITY_VALUE,"workspace.entities[entity=""entity_25746""].values[type=""synonyms"", value=""Personal  Banking""].value","""Personal  Banking"""
d585402d-d07d-4f5e-b4d8-4752a552b9a1,ENTITY_VALUE,"workspace.entities[entity=""entity_25746""].values[type=""synonyms"", value=""Debit card services""].value","""Debit card services"""
1b8b0154-eeb4-4d9e-a2e8-34db79a14cd9,ENTITY_VALUE,"workspace.entities[entity=""entity_25746""].values[type=""synonyms"", value=""Credit card services""].value","""Credit card services"""
